,batsmanName,balls,4s,6s,total_boundaries,boundary_percent
39,YashasviJaiswal,744,142,46,188,25.268817204301076
23,PrithviShaw,532,102,28,130,24.43609022556391
35,SuryakumarYadav,763,128,54,182,23.853211009174313
3,AndreRussell,468,45,64,109,23.29059829059829
10,GlennMaxwell,752,108,67,175,23.27127659574468
13,JosButtler,1027,152,72,224,21.81110029211295
8,DineshKarthik,454,62,34,96,21.145374449339208
21,NicholasPooran,464,45,52,97,20.905172413793103
30,SanjuSamson,902,113,67,180,19.955654101995567
25,RahulTripathi,757,110,41,151,19.947159841479525
