,bowlerName,total_ball,runs,economy
0,AndreRussell,374,638,10.240770465489566
1,AnrichNortje,556,768,8.284789644012944
2,ArshdeepSingh,853,1220,8.579465541490858
3,AveshKhan,802,1115,8.339566192969334
4,AxarPatel,792,939,7.113636363636363
5,BhuvneshwarKumar,871,1143,7.871900826446281
6,ChrisJordan,281,468,10.0
7,GlennMaxwell,302,394,7.833001988071571
8,HarpreetBrar,397,503,7.598187311178247
9,HarshalPatel,941,1323,8.4375
10,JasonHolder,611,922,9.056974459724952
11,KagisoRabada,744,1069,8.620967741935484
12,KhaleelAhmed,571,793,8.329831932773109
13,KrunalPandya,679,843,7.446996466431095
14,LalitYadav,270,369,8.2
15,MoeenAli,427,501,7.036516853932584
16,MohammedShami,1072,1405,7.8623391158365985
17,MohammedSiraj,918,1242,8.117647058823529
18,RahulChahar,836,1063,7.631012203876525
19,RashidKhan,1097,1317,7.204595185995623
20,RaviBishnoi,843,1077,7.665480427046264
21,RavichandranAshwin,940,1175,7.498404594767071
22,RavindraJadeja,816,1014,7.455882352941177
23,RileyMeredith,388,612,9.45904173106646
24,SandeepSharma,537,752,8.402234636871508
25,ShardulThakur,775,1220,9.442724458204335
26,SunilNarine,960,1056,6.6
27,TrentBoult,908,1210,7.997356245869134
28,UmranMalik,487,757,9.322660098522167
29,VarunChakravarthy,958,1209,7.57044458359424
30,WashingtonSundar,370,503,8.152350081037277
31,YuzvendraChahal,1043,1333,7.669735327963176
